S. No.,Thickness_mm,Bar_Diameter_mm,Bar_Spacing_mm,fck_cube_MPa,fy_MPa,Peak_Force_N,Peak_Displacement_mm,Total_Area_mm2
1,100,5,35,40,400,1360172.375,4.563,4105991.353
2,100,5,70,45,430,1409847.625,5.632,5592686.407
3,70,5,45,55,290,780263.062,6.804,3603401.743
4,50,2,30,25,405,199751.344,6.879,962756.87
5,90,6,70,55,520,1371476.375,6.925,6702910.984
6,50,3,70,25,535,197681.094,6.941,955979.64
7,60,3,55,40,540,413812.938,6.428,1765346.964
8,80,3,70,25,525,585816.688,5.585,2318708.454
9,90,6,25,35,405,1049570,4.828,3416014.69
10,90,5,30,25,480,826622.062,4.511,2562561.909
11,80,5,50,50,285,975427.188,7.601,5472701.344
12,50,3,25,30,335,244870.281,6.979,1166521.189
13,60,2,70,30,265,315390.125,5.558,1170451.932
14,70,6,25,60,250,891886.125,6.245,3671621.435
15,60,5,70,30,430,360966.938,7.72,2042694.573
16,60,4,35,25,275,342960.75,5.943,1379724.189
17,80,4,55,55,435,1030721.562,7.319,5347547.746
18,80,6,50,25,535,677621.375,7.997,4211487.91
19,70,2,40,25,490,423969.938,7.059,2280705.942
20,60,4,35,25,275,342960.75,5.943,1379724.189
21,100,5,70,25,420,927232.625,3.758,2278757.392
22,100,6,55,45,490,1479630.125,6.038,6429360.193
23,90,5,60,30,375,873794.688,5.045,3038081.021
24,60,3,40,25,335,317947.531,6.11,1337065.854
25,60,4,55,50,530,501305.438,7.538,2574511.552
26,90,4,75,35,475,853069.125,5.483,3314716.51
27,50,3,55,40,255,254419.891,7.554,1350583.4
28,80,6,60,40,250,833596.75,6.253,3707617.551
29,90,4,40,25,385,789394.875,4.33,2258295.795
30,60,4,25,25,315,374243.844,6.19,1560224.806
31,60,3,75,60,485,514995.5,8.662,3229735.25
32,80,3,50,45,290,865356.625,6.969,4374194.925
33,50,5,25,30,550,306520,9.795,2167720.486
34,100,5,65,45,380,1420546.5,5.213,5040365.097
35,80,4,55,40,320,806537.188,6.442,3739998.603
36,100,4,40,50,505,1546596.625,5.544,5904101.163
37,70,5,40,55,505,800389.188,8.723,5151609.319
38,80,3,30,40,370,822544.188,5.412,2972641.023
39,90,4,55,50,405,1242260.5,6.46,5653161.014
40,60,4,75,30,310,340618.125,5.916,1357797.08
41,70,4,45,40,400,623790.125,6.728,2946044.461
42,90,3,45,40,325,1017572.188,5.591,3987244.799
43,70,5,50,40,455,641145.938,6.204,2666114.069
44,70,4,30,55,470,808061.875,6.477,3427894.98
45,60,2,75,25,290,290093.781,5.661,1113300.437
46,50,5,35,35,465,285992.75,10.21,2189116.189
47,60,5,40,35,540,413920.594,12.616,4286205.033
48,50,4,35,60,415,361207.719,6.78,1460945.229
49,50,6,35,35,415,304612.969,9.708,2146403.03
50,90,4,40,25,390,772686.062,4.478,2361727.688
51,100,5,65,50,520,1541282,5.876,6190409.644
52,80,2,25,30,520,653179.812,6.592,3212932.877
53,80,5,75,30,465,667325.75,5.702,2679919.375
54,50,3,50,60,500,327423.781,6.657,1361791.078
55,70,4,70,45,260,630071.25,6.739,2816229.014
56,70,5,40,40,535,643361.812,9.152,4555131.437
57,100,3,50,35,295,1010002.812,4.047,2626890.214
58,80,3,45,35,425,631595.125,9.974,5363960.372
59,90,4,50,55,515,1295929.875,7.937,7738602.499
60,70,2,30,35,270,470213.719,7.788,2868238.603
61,100,6,50,25,325,939446.125,3.827,2436539.545
62,70,5,25,25,365,555772.062,6.724,2685202.649
63,100,3,30,60,495,1688962,5.871,6902666.987
64,80,3,45,25,515,608416.188,5.263,2202915.675
65,80,3,25,50,435,981394.875,7.188,5112134.677
66,100,4,60,30,285,1035590.812,5.329,4055244.982
67,80,5,35,55,360,1084127,7.399,5794166.567
68,90,3,25,50,305,1243683.75,6.352,5597542.947
69,80,4,30,35,430,750638.625,6,3197616.931
70,50,4,65,40,275,262389.5,7.528,1370245.871
71,90,3,25,40,260,1040987.438,5.743,4268055.973
72,70,4,55,40,470,616818.062,6.695,2872571.34
73,50,2,65,45,470,263003.25,7.516,1373620.581
74,60,3,30,25,525,344290.312,6.326,1478642.65
75,80,4,40,35,455,713716.5,6.667,3539958.549
76,70,3,25,50,315,715977.875,7.019,3532751.899
77,70,6,70,45,330,679452.062,6.293,2856630.959
78,70,4,45,50,325,714841.688,7.036,3508640.483
79,100,6,65,40,365,1328643.625,5.287,4897666.58
80,90,4,40,40,375,1059860.25,5.689,4236427.089
81,50,5,55,50,310,318710.281,7.572,1622197.243
82,90,2,45,50,280,1200095,6.455,5428565.615
83,60,3,75,30,355,329168.469,5.869,1305941.133
84,50,4,35,45,290,306419.094,7.081,1437850.148
85,100,3,70,60,375,1667719.125,5.905,6710033.133
86,90,3,45,50,310,1216868.5,6.244,5295779.8
87,90,2,50,60,505,1326034.25,6.748,6279905.278
88,100,3,50,40,355,1255188,4.606,3826025.407
89,100,5,75,60,365,1686096.25,5.914,6889099.311
90,90,5,35,60,375,1430520.5,6.16,6084068.639
91,50,3,75,50,500,291078.125,7.012,1340894.594
92,90,5,30,35,450,988348.312,5.254,3600064.013
93,70,4,70,25,490,450004.562,6.453,2100186.903
94,90,2,45,25,255,726582.375,5.966,3262570.987
95,100,5,55,30,505,1079389,4.473,3291984.805
96,60,4,40,30,435,372177.969,7.754,2120353.871
97,60,5,70,30,390,359378.375,7.706,2035689.96
98,70,6,35,50,310,798096.938,7.428,4193586.007
99,50,4,25,35,545,296217.625,10.854,2424969.108
100,90,6,60,55,440,1370238.625,6.794,6573488.316
101,90,2,55,30,420,803373.938,5.747,3369824.338
102,90,2,65,30,425,800839.562,5.544,3227017.189
103,70,6,45,45,550,729857.438,6.703,2938607.736
104,60,3,35,30,285,350681.531,5.662,1313947.18
105,80,5,75,45,365,888133.938,6.614,4159297.892
106,80,4,75,60,460,1014791.688,6.218,3821178.07
107,90,4,60,50,410,1197434.5,7.771,6863141.865
108,100,5,50,55,340,1639533.25,6.221,7100463.852
109,90,3,45,55,350,1288515.875,6.021,5271148.509
110,100,3,55,35,445,1022448,5.069,3746073.6
111,80,3,40,30,300,591271.688,11.414,5638013.901
112,90,5,60,30,330,859634.062,4.707,2723639.368
113,50,3,65,55,335,306869.562,7.262,1468949.811
114,90,4,50,45,445,1132268.875,6.793,4697284.659
115,50,5,35,45,350,331555.781,9.045,2151744.99
116,100,2,30,35,275,1005548,4.982,3639497.446
117,100,5,45,60,395,1718529.625,5.626,6617123.223
118,80,4,25,55,265,1031461.125,9.206,7286140.413
119,70,4,65,50,400,692175.812,8.221,4198863.966
120,50,3,25,55,515,345185.25,8.286,1950092.22
121,70,5,50,30,530,532322.75,8.384,3451336.05
122,90,3,35,25,265,725950,6.514,3393581.8
123,100,2,65,60,380,1620999.875,5.556,5861579.419
124,70,4,30,45,250,659891.688,5.255,2217219.458
125,70,3,30,60,370,745774.312,5.314,2452471.855
126,80,2,55,30,370,619975.125,5.986,2508589.434
127,60,5,70,45,285,433614.688,5.231,1349143.207
128,90,5,60,60,345,1322919.125,8.258,8293198.262
129,90,5,35,30,480,947054.062,6.626,4500772.112
130,70,3,45,25,550,433038.438,8.525,2895949.911
131,70,2,75,35,320,453655.688,8.306,3010418.837
132,60,5,60,45,365,453729.594,9.622,3374649.732
133,90,3,60,50,380,1150707.25,8.706,7984358.741
134,70,6,60,40,390,571582.188,14.22,6881254.07
135,70,4,60,30,485,496104.281,6.644,2311009.923
136,90,6,40,35,510,953870.5,6.987,5155618.792
137,80,5,40,45,365,930475.125,6.284,4048102.623
138,50,5,75,35,340,238633.875,7.884,1342345.4
139,100,2,60,25,500,860670.062,5.172,3336912.752
140,100,3,25,60,345,1639655.25,7.23,8932060.332
141,50,5,65,25,315,209570.328,9.647,1565828.073
142,100,5,65,35,330,1064256.25,5.115,3951920.032
143,90,3,30,45,280,1097069.875,7.86,6155139.575
144,80,4,50,35,470,696489.312,5.423,2604568.497
